年月,変動金利（赤）,固定3年（緑）,固定10年（青）,政策金利,10年国債金利（長期金利）,ドル円レート,日経平均株価,都心23区,都心6区,城南・城西6区,城北・城東11区,大阪6区,名古屋3区,備考
1978-01,7.62,,,4.25,6.3,241.60,"5,112",,,,,,,データ開始（長期金利含む全網羅）
1978-02,7.62,,,4.25,6.3,238.10,"5,223",,,,,,,
1978-03,7.62,,,3.5,6.1,229.89,"5,448",,,,,,,日銀：公定歩合引き下げ
1978-04,7.62,,,3.5,6.1,224.97,"5,534",,,,,,,
1978-05,7.62,,,3.5,6.1,221.34,"5,470",,,,,,,
1978-06,7.62,,,3.5,6.1,203.71,"5,543",,,,,,,
1978-07,7.62,,,3.5,6.1,189.14,"5,601",,,,,,,
1978-08,7.62,,,3.5,6.1,190.51,"5,585",,,,,,,
1978-09,7.62,,,3.5,6.1,189.19,"5,772",,,,,,,
1978-10,7.62,,,3.5,6.1,179.50,"5,903",,,,,,,
1978-11,7.62,,,3.5,6.1,199.10,"5,967",,,,,,,
1978-12,7.62,,,3.5,6.1,194.30,"6,002",,,,,,,
1979-01,7.62,,,3.5,6.1,202.20,"6,213",,,,,,,
1979-02,7.62,,,3.5,6.1,202.65,"6,073",,,,,,,
1979-03,7.62,,,3.5,6.1,209.58,"6,134",,,,,,,
1979-04,7.62,,,4.25,7.2,221.80,"6,223",,,,,,,日銀：利上げ開始 / 長期金利が先行上昇
1979-05,7.62,,,4.25,7.2,220.35,"6,253",,,,,,,
1979-06,7.62,,,4.25,7.2,217.80,"6,247",,,,,,,
1979-07,8.12,,,5.25,7.9,216.70,"6,314",,,,,,,
1979-08,8.12,,,5.25,7.9,220.40,"6,436",,,,,,,
1979-09,8.12,,,5.25,7.9,224.50,"6,569",,,,,,,
1979-10,8.12,,,5.25,7.9,237.85,"6,444",,,,,,,
1979-11,8.12,,,6.25,8.3,249.55,"6,450",,,,,,,
1979-12,8.12,,,6.25,8.3,240.30,"6,569",,,,,,,
1980-01,8.12,,,6.25,8.3,239.33,"6,768",,,,,,,
1980-02,8.12,,,7.25,8.8,251.65,"6,765",,,,,,,
1980-03,8.12,,,9,9.2,249.95,"6,556",,,,,,,日銀：公定歩合最高9.00% / 長期金利もピークの9.2%超へ
1980-04,8.12,,,9,9.2,239.35,"6,866",,,,,,,
1980-05,8.88,,,9,8.9,223.00,"6,856",,,,,,,銀行：住宅ローン店頭金利が歴史上最高値の8.88%を記録
1980-06,8.88,,,9,8.9,219.90,"6,871",,,,,,,
1980-07,8.88,,,9,8.9,227.40,"6,820",,,,,,,
1980-08,8.88,,,8.25,8.4,219.10,"6,914",,,,,,,日銀：利下げ転換
1980-09,8.88,,,8.25,8.4,210.85,"7,076",,,,,,,
1980-10,8.88,,,8.25,8.4,211.05,"7,151",,,,,,,
1980-11,8.88,,,7.25,8.1,216.60,"7,124",,,,,,,
1980-12,8.88,,,7.25,8.1,203.10,"7,063",,,,,,,
1981-01,8.88,,,7.25,8.1,206.70,"7,254",,,,,,,
1981-02,8.88,,,7.25,8.1,209.70,"7,147",,,,,,,
1981-03,8.52,,,6.25,7.8,211.25,"7,334",,,,,,,
1981-04,8.52,,,6.25,7.8,215.78,"7,674",,,,,,,
1981-05,8.52,,,6.25,7.8,223.90,"7,540",,,,,,,
1981-06,8.52,,,6.25,7.8,226.85,"7,867",,,,,,,
1981-07,8.52,,,6.25,7.8,240.40,"7,828",,,,,,,
1981-08,8.52,,,6.25,7.8,230.50,"7,816",,,,,,,
1981-09,8.52,,,6.25,7.8,232.30,"7,456",,,,,,,
1981-10,8.52,,,6.25,7.8,232.80,"7,449",,,,,,,
1981-11,8.52,,,6.25,7.8,214.20,"7,549",,,,,,,
1981-12,8.52,,,5.5,7.5,219.80,"7,682",,,,,,,
1982-01,8.52,,,5.5,7.5,228.30,"7,919",,,,,,,
1982-02,8.52,,,5.5,7.5,237.25,"7,549",,,,,,,
1982-03,8.4,,,5.5,7.3,248.25,"7,260",,,,,,,
1982-04,8.4,,,5.5,7.3,235.85,"7,391",,,,,,,
1982-05,8.4,,,5.5,7.3,243.30,"7,326",,,,,,,
1982-06,8.4,,,5.5,7.3,255.00,"7,214",,,,,,,
1982-07,8.4,,,5.5,7.3,258.10,"7,122",,,,,,,
1982-08,8.4,,,5.5,7.3,261.10,"7,123",,,,,,,
1982-09,8.4,,,5.5,7.3,268.30,"6,911",,,,,,,
1982-10,8.4,,,5.5,7.3,277.10,"7,259",,,,,,,
1982-11,8.4,,,5.5,7.3,249.20,"7,896",,,,,,,
1982-12,8.4,,,5.5,7.3,234.70,"8,017",,,,,,,
1983-01,8.4,,,5.5,7.3,239.85,"8,103",,,,,,,
1983-02,8.4,,,5.5,7.3,237.85,"8,086",,,,,,,
1983-03,8.4,,,5.5,7.3,239.00,"8,479",,,,,,,
1983-04,8.4,,,5.5,7.3,238.30,"8,637",,,,,,,
1983-05,8.4,,,5.5,7.3,238.85,"8,618",,,,,,,
1983-06,8.4,,,5.5,7.3,239.28,"8,871",,,,,,,
1983-07,8.4,,,5.5,7.3,241.75,"9,079",,,,,,,
1983-08,8.4,,,5.5,7.3,246.45,"9,189",,,,,,,
1983-09,8.4,,,5.5,7.3,235.65,"9,403",,,,,,,
1983-10,8.4,,,5,7.1,234.05,"9,357",,,,,,,
1983-11,8.4,,,5,7.1,232.50,"9,320",,,,,,,
1983-12,8.4,,,5,7.1,231.70,"9,894",,,,,,,
1984-01,8.5,,,5,6.8,234.67,"10,196",,,,,,,元画像のグラフ開始（バブル前夜）
1984-02,8.5,,,5,6.8,233.43,"10,031",,,,,,,
1984-03,8.5,,,5,6.8,224.75,"10,929",,,,,,,
1984-04,8.5,,,5,6.8,227.00,"10,982",,,,,,,
1984-05,8.5,,,5,6.8,231.58,"9,940",,,,,,,
1984-06,8.5,,,5,6.8,237.30,"10,378",,,,,,,
1984-07,8.5,,,5,6.8,245.30,"9,999",,,,,,,
1984-08,8.5,,,5,6.8,241.90,"10,584",,,,,,,
1984-09,8.5,,,5,6.8,246.90,"10,649",,,,,,,
1984-10,8.5,,,5,6.8,245.70,"11,253",,,,,,,
1984-11,8.5,,,5,6.8,247.50,"11,429",,,,,,,
1984-12,8.5,,,5,6.8,251.60,"11,543",,,,,,,
1985-01,8.5,,,5,6.8,254.80,"11,992",,,,,,,
1985-02,8.5,,,5,6.8,259.45,"12,322",,,,,,,
1985-03,8.5,,,5,6.8,251.00,"12,581",,,,,,,
1985-04,8.5,,,5,6.8,251.50,"12,426",,,,,,,
1985-05,8.5,,,5,6.8,251.20,"12,758",,,,,,,
1985-06,8.5,,,5,6.8,248.40,"12,882",,,,,,,
1985-07,8.5,,,5,6.8,236.45,"12,232",,,,,,,
1985-08,8.5,,,5,6.8,239.00,"12,713",,,,,,,
1985-09,8.5,,,5,6.8,216.50,"12,700",,,,,,,
1985-10,8.5,,,5,6.8,211.55,"12,936",,,,,,,
1985-11,8.5,,,5,6.8,202.10,"12,763",,,,,,,
1985-12,8.5,,,5,6.8,200.25,"13,083",,,,,,,
1986-01,7.5,,,4.5,5.2,192.30,"13,024",,,,,,,
1986-02,7.5,,,4.5,5.2,180.55,"13,641",,,,,,,
1986-03,7.5,,,4.5,5.2,177.60,"15,860",,,,,,,
1986-04,7.5,,,4.5,5.2,167.60,"15,826",,,,,,,
1986-05,7.5,,,4.5,5.2,174.50,"16,671",,,,,,,
1986-06,7.5,,,4.5,5.2,163.80,"17,654",,,,,,,
1986-07,7.5,,,4.5,5.201,153.85,"17,510",,,,,,,
1986-08,7.5,,,4.5,5.116,154.55,"18,534",,,,,,,
1986-09,7.5,,,4.5,5.638,154.35,"17,853",,,,,,,
1986-10,7.5,,,4.5,5.697,163.40,"16,911",,,,,,,
1986-11,7.5,,,4.5,5.487,162.05,"18,083",,,,,,,
1986-12,7.5,,,4.5,5.364,158.30,"18,821",,,,,,,
1987-01,7.5,,,4.5,5.152,153.65,"20,048",,,,,,,
1987-02,5.5,,,2.5,5.088,153.27,"20,422",,,,,,,日銀：公定歩合2.5%（当時最低） / 長期金利も一時低下
1987-03,5.5,,,2.5,4.485,145.68,"21,567",,,,,,,
1987-04,5.5,,,2.5,4.104,140.67,"23,275",,,,,,,
1987-05,5.5,,,2.5,3.780,144.10,"24,772",,,,,,,
1987-06,5.5,,,2.5,4.602,146.80,"24,176",,,,,,,
1987-07,5.5,,,2.5,5.253,149.90,"24,488",,,,,,,
1987-08,5.5,,,2.5,5.489,141.75,"26,029",,,,,,,
1987-09,5.5,,,2.5,6.307,146.50,"26,011",,,,,,,
1987-10,5.5,,,2.5,5.285,138.40,"22,765",,,,,,,
1987-11,5.5,,,2.5,5.272,132.42,"22,687",,,,,,,
1987-12,5.5,,,2.5,4.824,121.25,"21,564",,,,,,,
1988-01,5.5,,,2.5,4.138,127.75,"23,622",,,,,,,
1988-02,5.5,,,2.5,4.583,128.45,"25,243",,,,,,,
1988-03,5.5,,,2.5,4.786,124.10,"26,260",,,,,,,
1988-04,5.5,,,2.5,4.788,124.92,"27,434",,,,,,,
1988-05,5.5,,,2.5,5.086,125.11,"27,417",,,,,,,
1988-06,5.5,,,2.5,5.380,133.53,"27,769",,,,,,,
1988-07,5.5,,,2.5,5.358,133.05,"27,912",,,,,,,
1988-08,5.5,,,2.5,5.615,136.52,"27,366",,,,,,,
1988-09,5.5,,,2.5,5.165,133.90,"27,924",,,,,,,
1988-10,5.5,,,2.5,4.787,125.50,"27,983",,,,,,,
1988-11,5.5,,,2.5,4.688,121.90,"29,579",,,,,,,
1988-12,5.5,,,2.5,4.611,125.05,"30,159",,,,,,,
1989-01,5.5,,,2.5,4.831,130.50,"31,581",,,,,,,
1989-02,5.5,,,2.5,5.106,126.87,"31,986",,,,,,,
1989-03,5.5,,,2.5,5.112,132.77,"32,839",,,,,,,
1989-04,5.5,,,2.5,5.166,132.85,"33,713",,,,,,,
1989-05,5.7,,,3.25,5.054,142.33,"34,267",,,,,,,日銀：バブル期利上げ開始
1989-06,5.7,,,3.25,5.305,144.00,"32,949",,,,,,,
1989-07,5.7,,,3.25,4.914,136.95,"34,954",,,,,,,
1989-08,5.7,,,3.25,5.083,144.60,"34,431",,,,,,,
1989-09,5.7,,,3.25,5.025,139.60,"35,637",,,,,,,
1989-10,5.7,,,3.25,5.429,142.73,"35,549",,,,,,,
1989-11,5.7,,,3.25,5.421,142.91,"37,269",,,,,,,
1989-12,5.7,,,3.25,5.616,143.80,"38,916",,,,,,,
1990-01,5.7,,,3.25,6.376,144.55,"37,189",,,,,,,
1990-02,5.7,,,3.25,6.436,148.82,"34,592",,,,,,,
1990-03,5.7,,,3.25,6.816,157.82,"29,980",,,,,,,
1990-04,5.7,,,3.25,6.723,158.85,"29,585",,,,,,,
1990-05,5.7,,,3.25,6.263,152.64,"33,131",,,,,,,
1990-06,5.7,,,3.25,6.704,152.35,"31,940",,,,,,,
1990-07,5.7,,,3.25,7.023,146.13,"31,036",,,,,,,
1990-08,7.5,,,6,7.557,143.93,"25,978",,,,,,,日銀：公定歩合最高6.0% / 長期金利が約8.0%まで急騰
1990-09,7.5,,,6,8.105,138.27,"20,984",,,,,,,
1990-10,7.5,,,6,7.441,129.95,"25,194",,,,,,,
1990-11,7.5,,,6,6.959,133.10,"22,455",,,,,,,
1990-12,7.5,,,6,6.619,135.75,"23,849",,,,,,,
1991-01,7.5,,,6,6.493,131.45,"23,293",,,,,,,
1991-02,7.5,,,6,6.467,132.95,"26,409",,,,,,,
1991-03,7.5,,,6,6.572,140.60,"26,292",,,,,,,
1991-04,7.5,,,6,6.650,136.38,"26,111",,,,,,,
1991-05,7.5,,,6,6.562,138.45,"25,790",,,,,,,
1991-06,7.5,,,6,6.774,137.90,"23,291",,,,,,,
1991-07,8.5,,,5.5,6.516,137.42,"24,121",,,,,,,日銀：利下げ転換 / 変動ローンはピークの8.50%
1991-08,8.5,,,5.5,6.322,136.85,"22,336",,,,,,,
1991-09,8.5,,,5.5,6.083,132.85,"23,916",,,,,,,
1991-10,8.5,,,5.5,6.025,130.60,"25,222",,,,,,,
1991-11,8.5,,,5.5,5.971,130.08,"22,687",,,,,,,
1991-12,8.5,,,5.5,5.575,124.90,"22,984",,,,,,,
1992-01,8.5,,,5.5,5.566,125.55,"22,023",,,,,,,
1992-02,8.5,,,5.5,5.560,129.15,"21,339",,,,,,,
1992-03,8.5,,,5.5,5.508,132.92,"19,346",,,,,,,
1992-04,8.5,,,5.5,5.794,133.30,"17,391",,,,,,,
